,ukraine_actual_yoy,counterfactual_factor_model,ea_common_factor_pct,ea_mean_hicp,counterfactual_svar
2000-12-01,25.815994260555343,9.911694085117539,2.985866708049757,3.0454545454545454,
2001-01-01,22.087221964114434,9.715561813444834,2.819382794854732,2.909090909090909,
2001-02-01,18.896171632041714,9.677942372348362,2.787450101104047,2.881818181818182,
2001-03-01,17.26426339395486,9.768806760421146,2.8645789630063474,2.9545454545454537,16.40577876679054
2001-04-01,17.033655206356112,10.276170034249851,3.2952466064189405,3.372727272727273,14.293499605000992
2001-05-01,15.08500472789569,10.593144603442251,3.564305676669859,3.6181818181818177,13.632990034375243
2001-06-01,11.644662252905613,10.390412158290442,3.3922193060148933,3.472727272727273,12.167745035664012
2001-07-01,9.85655955416036,10.03465863769472,3.0902433092216786,3.1727272727272724,10.55174907890514
2001-08-01,9.63684643505205,9.813252085238211,2.9023057049426106,2.9818181818181815,9.008907239329515
2001-09-01,7.285958889661059,9.681843884537432,2.790761840732998,2.8909090909090907,8.611727278794255
2001-10-01,6.016302571440235,9.634743452237974,2.7507813509568093,2.8272727272727276,11.175135042962781
2001-11-01,6.121896498304191,9.372047304684049,2.5277956981978513,2.6181818181818186,10.325307846673088
2001-12-01,6.1218964983042135,9.533229400573397,2.6646126831426544,2.772727272727273,10.718119630097764
2002-01-01,5.599128535258324,10.124326988931546,3.166356933340428,3.263636363636364,10.437090673586018
2002-02-01,3.4997422820723267,9.829784425427139,2.916338931935041,3.0,8.179604290362782
2002-03-01,2.162270463317917,9.906947747780332,2.981837851367975,3.0727272727272723,5.804828591996433
2002-04-01,2.0616179801028034,9.80148026932871,2.8923133770033536,2.9818181818181815,5.750763653110455
2002-05-01,1.3500329941857903,9.435724374744424,2.581847016290653,2.690909090909091,7.732069102933756
2002-06-01,-1.0678604370870204,9.187162093381016,2.370858682136655,2.481818181818182,7.6131360048781875
2002-07-01,-0.8665742935206167,9.321403206969554,2.484807221616037,2.5727272727272728,8.210353608275332
2002-08-01,-0.8665742935206167,9.500646125266611,2.6369548625732957,2.727272727272727,8.420611543072171
2002-09-01,-1.0640512371590138,9.397052186441908,2.5490207139921623,2.6454545454545455,7.911463618142807
2002-10-01,-0.5703588780629709,9.549271642280889,2.678229897449643,2.7636363636363637,7.485149502438105
2002-11-01,-0.37248894548199685,9.559926216718178,2.687273871858442,2.7636363636363637,8.668757213240248
2002-12-01,-0.5686060932270864,9.554904069653293,2.6830108982596963,2.7454545454545456,8.189542929661798
2003-01-01,-0.07637146992623967,9.394844987126431,2.5471471662271368,2.6181818181818177,6.415161083686147
2003-02-01,2.4571890911810446,9.769657975355827,2.865301503932873,2.9272727272727277,5.355349464368081
2003-03-01,4.314419104918499,9.637244085895858,2.7529039760265204,2.809090909090909,5.177503112025084
2003-04-01,3.5942998408805993,9.225655032973707,2.4035328318781373,2.4636363636363634,4.196390575411648
2003-05-01,3.906017894564262,8.89037368859597,2.1189343323184,2.190909090909091,6.0476656899153785
2003-06-01,5.916419462789024,8.995577348922911,2.2082348686569433,2.272727272727273,7.644209972988987
2003-07-01,7.421830500838866,8.929848272474288,2.1524417359688024,2.2181818181818183,6.652211552273927
2003-08-01,5.807273930184986,9.03214233683461,2.239272505765573,2.3,6.3317550108588
2003-09-01,6.229658257251547,9.09510089249368,2.2927139237731087,2.3363636363636364,4.980848897762709
2003-10-01,6.86260557556686,8.881859628290595,2.111707300964872,2.145454545454545,3.619214844068464
2003-11-01,8.13604278202844,9.006253912357584,2.217297508093687,2.2454545454545456,2.6043273952509183
